"Customers Created: ","253"
"Customer ID","Arrival","Time to Check Out","Departure","Total Wait","Line Number"
"0","1","3","4","3","0",
"2","6","4","10","4","0",
"6","12","3","15","3","0",
"8","21","1","22","1","0",
"10","24","2","26","2","0",
"11","28","1","29","1","0",
"12","32","1","33","1","0",
"14","38","4","42","4","0",
"17","45","2","47","2","0",
"19","52","2","54","2","0",
"21","58","3","61","3","0",
"23","64","3","67","3","0",
"25","69","3","72","3","0",
"27","74","1","75","1","0",
"28","77","1","78","1","0",
"30","84","2","86","2","0",
"31","90","1","91","1","0",
"33","94","4","98","4","0",
"36","100","2","102","2","0",
"38","105","3","108","3","0",
"39","110","4","114","4","0",
"42","117","2","119","2","0",
"44","122","1","123","1","0",
"45","125","3","128","3","0",
"48","130","1","131","1","0",
"50","133","4","137","4","0",
"52","139","4","143","4","0",
"54","146","4","150","4","0",
"56","154","1","155","1","0",
"57","159","3","162","3","0",
"59","164","4","168","4","0",
"62","173","4","177","4","0",
"65","181","1","182","1","0",
"67","187","3","190","3","0",
"69","194","4","198","4","0",
"71","202","2","204","2","0",
"73","208","1","209","1","0",
"74","213","1","214","1","0",
"75","217","2","219","2","0",
"77","224","2","226","2","0",
"79","228","1","229","1","0",
"80","231","4","235","4","0",
"82","240","4","244","4","0",
"85","247","4","251","4","0",
"87","255","4","259","4","0",
"89","262","2","264","2","0",
"90","266","4","270","4","0",
"93","274","1","275","1","0",
"94","278","3","281","3","0",
"96","285","4","289","4","0",
"99","294","3","297","3","0",
"101","299","3","302","3","0",
"103","306","1","307","1","0",
"105","311","4","315","4","0",
"107","318","3","321","3","0",
"110","326","4","330","4","0",
"113","332","1","333","1","0",
"114","336","1","337","1","0",
"116","342","2","344","2","0",
"118","346","2","348","2","0",
"119","351","1","352","1","0",
"121","357","1","358","1","0",
"123","361","2","363","2","0",
"125","365","3","368","3","0",
"128","372","1","373","1","0",
"129","375","1","376","1","0",
"130","378","2","380","2","0",
"133","383","4","387","4","0",
"136","391","2","393","2","0",
"139","397","3","400","3","0",
"142","403","1","404","1","0",
"143","407","3","410","3","0",
"145","412","2","414","2","0",
"147","417","3","420","3","0",
"149","422","1","423","1","0",
"151","427","3","430","3","0",
"154","433","3","436","3","0",
"155","439","4","443","4","0",
"158","445","3","448","3","0",
"160","454","3","457","3","0",
"162","459","2","461","2","0",
"164","466","3","469","3","0",
"166","473","1","474","1","0",
"168","478","1","479","1","0",
"169","482","2","484","2","0",
"171","487","4","491","4","0",
"174","496","1","497","1","0",
"176","501","2","503","2","0",
"178","507","3","510","3","0",
"181","515","3","518","3","0",
"182","521","1","522","1","0",
"183","525","4","529","4","0",
"186","532","3","535","3","0",
"188","538","1","539","1","0",
"189","542","1","543","1","0",
"191","546","3","549","3","0",
"193","552","4","556","4","0",
"196","558","1","559","1","0",
"197","561","2","563","2","0",
"200","566","2","568","2","0",
"202","572","1","573","1","0",
"204","575","3","578","3","0",
"206","580","1","581","1","0",
"207","584","4","588","4","0",
"210","593","1","594","1","0",
"211","598","4","602","4","0",
"213","605","4","609","4","0",
"215","611","4","615","4","0",
"219","618","1","619","1","0",
"221","623","2","625","2","0",
"223","628","3","631","3","0",
"225","634","4","638","4","0",
"228","640","4","644","4","0",
"231","647","4","651","4","0",
"234","656","4","660","4","0",
"236","663","3","666","3","0",
"238","668","2","670","2","0",
"239","672","1","673","1","0",
"241","678","1","679","1","0",
"242","683","1","684","1","0",
"244","688","1","689","1","0",
"245","693","2","695","2","0",
"246","698","4","702","4","0",
"248","706","3","709","3","0",
"250","711","3","714","3","0",
"1","3","3","6","3","1",
"4","8","3","11","3","1",
"7","16","2","18","2","1",
"9","23","1","24","1","1",
"13","34","2","36","2","1",
"15","40","1","41","1","1",
"18","47","4","51","4","1",
"20","55","3","58","3","1",
"22","61","1","62","1","1",
"24","67","2","69","2","1",
"26","72","4","76","4","1",
"29","78","2","80","2","1",
"32","92","3","95","3","1",
"35","98","2","100","2","1",
"40","111","1","112","1","1",
"41","115","3","118","3","1",
"46","128","1","129","1","1",
"49","131","3","134","3","1",
"53","141","1","142","1","1",
"55","149","2","151","2","1",
"58","163","2","165","2","1",
"60","168","4","172","4","1",
"63","176","4","180","4","1",
"66","183","1","184","1","1",
"68","191","4","195","4","1",
"70","199","3","202","3","1",
"72","205","4","209","4","1",
"76","219","4","223","4","1",
"78","227","1","228","1","1",
"81","234","1","235","1","1",
"83","242","1","243","1","1",
"84","245","1","246","1","1",
"86","251","4","255","4","1",
"88","258","2","260","2","1",
"91","269","3","272","3","1",
"95","281","3","284","3","1",
"97","288","3","291","3","1",
"100","297","3","300","3","1",
"102","302","3","305","3","1",
"104","307","1","308","1","1",
"106","314","2","316","2","1",
"108","320","3","323","3","1",
"111","327","2","329","2","1",
"115","338","2","340","2","1",
"117","344","4","348","4","1",
"120","353","3","356","3","1",
"122","358","3","361","3","1",
"124","363","3","366","3","1",
"127","369","2","371","2","1",
"131","379","3","382","3","1",
"134","386","3","389","3","1",
"137","392","4","396","4","1",
"140","398","4","402","4","1",
"144","410","3","413","3","1",
"146","415","2","417","2","1",
"148","419","3","422","3","1",
"150","424","2","426","2","1",
"152","428","3","431","3","1",
"156","441","2","443","2","1",
"159","449","3","452","3","1",
"161","457","1","458","1","1",
"163","461","4","465","4","1",
"165","470","2","472","2","1",
"167","475","3","478","3","1",
"170","485","4","489","4","1",
"173","491","3","494","3","1",
"175","498","3","501","3","1",
"177","503","1","504","1","1",
"179","508","2","510","2","1",
"184","528","2","530","2","1",
"187","535","4","539","4","1",
"190","544","1","545","1","1",
"192","548","2","550","2","1",
"194","555","2","557","2","1",
"198","562","4","566","4","1",
"201","569","3","572","3","1",
"205","579","2","581","2","1",
"208","587","4","591","4","1",
"212","602","1","603","1","1",
"214","608","2","610","2","1",
"216","612","1","613","1","1",
"218","615","4","619","4","1",
"222","626","1","627","1","1",
"224","631","2","633","2","1",
"226","636","1","637","1","1",
"229","642","4","646","4","1",
"232","651","4","655","4","1",
"235","659","2","661","2","1",
"237","666","2","668","2","1",
"240","673","4","677","4","1",
"243","685","3","688","3","1",
"247","701","2","703","2","1",
"249","707","2","709","2","1",
"251","714","3","717","3","1",
"3","7","3","10","3","2",
"16","42","1","43","1","2",
"34","96","3","99","3","2",
"37","101","1","102","1","2",
"43","119","3","122","3","2",
"47","129","1","130","1","2",
"51","134","2","136","2","2",
"61","169","1","170","1","2",
"64","178","4","182","4","2",
"92","271","3","274","3","2",
"98","290","2","292","2","2",
"109","321","4","325","4","2",
"112","330","2","332","2","2",
"126","366","1","367","1","2",
"132","381","1","382","1","2",
"135","387","3","390","3","2",
"138","394","2","396","2","2",
"141","400","4","404","4","2",
"153","430","3","433","3","2",
"157","444","1","445","1","2",
"172","488","2","490","2","2",
"180","510","4","514","4","2",
"185","530","4","534","4","2",
"195","557","4","561","4","2",
"199","563","2","565","2","2",
"203","573","3","576","3","2",
"209","589","1","590","1","2",
"217","614","3","617","3","2",
"220","620","2","622","2","2",
"227","638","2","640","2","2",
"230","645","1","646","1","2",
"233","652","2","654","2","2",
"5","11","4","15","4","3",
